transaction_id,date,description,amount_gbp,balance_gbp,counterparty,category,raw_category
bt_000236,2024-07-03,MIXVIEW ANALYTICS LTD 14741,-349.00,-76256.59,Mixview Analytics,,SAAS
bt_000178,2024-07-04,SWIFT XFER PORTO KNIT CO. EUR,-103374.47,-179631.06,Porto Knit Co.,,SUPPLIER
bt_000230,2024-07-05,SQ *KLAVIYO INC 5027 DUB,-158.33,-179789.39,Klaviyo,,MARKETING
bt_000553,2024-07-07,HMRC VAT PAYMENT Q2 2024,-27980.51,-207769.90,HMRC,,OTHER
bt_000240,2024-07-08,TESCO EXPRESS,-7.65,-207777.55,Tesco,,OTHER
bt_000006,2024-07-10,SHOPIFY* 5930 PAYOUT REF#82906,35002.39,-172775.16,Shopify,,PAYOUT
bt_000007,2024-07-17,SHOPIFY* 3182 PAYOUT REF#82907,33392.87,-139382.29,Shopify,,PAYOUT
bt_000008,2024-07-24,SHOPIFY* 9760 PAYOUT REF#82908,33474.27,-105908.02,Shopify,,PAYOUT
bt_000229,2024-07-25,BACS PAYROLL 25JUL STAFF,-18052.30,-123960.32,Pretty Fly Payroll,,PAYROLL
bt_000241,2024-07-26,PRET A MANGER,-10.96,-123971.28,Pret A Manger,,OTHER
bt_000238,2024-07-28,HUB3PL LONDON N1 INVC3755,-4515.00,-128486.28,Hub3PL,,FULFILMENT
bt_000239,2024-07-28,DHL EXPRESS IRL,-7740.00,-136226.28,DHL,,SHIPPING
bt_000009,2024-07-31,SHOPIFY* 8459 PAYOUT REF#82909,34536.23,-101690.05,Shopify,,PAYOUT
bt_000107,2024-07-31,SHOPIFY REFUND BATCH 882,-16170.11,-117860.16,Shopify,,REFUND
bt_000131,2024-07-31,GOOGLE*ADS6932 CC@GOOGLE.COM,-14407.27,-132267.43,Google,,MARKETING
bt_000155,2024-07-31,FB*ADS9844XK MENLO PARK,-14290.41,-146557.84,Meta,,MARKETING
bt_000244,2024-08-01,SHOPIFY* SUB 93946,-79.00,-146636.84,Shopify,,SAAS
bt_000250,2024-08-01,STANDING ORDER STUDIO N1 LDN,-3200.00,-149836.84,Studio N1 Landlord,,RENT
bt_000245,2024-08-03,INTERCOM INC SF CA 19745,-199.00,-150035.84,Intercom,,SAAS
bt_000246,2024-08-03,XERO LTD 22120,-42.00,-150077.84,Xero,,SAAS
bt_000247,2024-08-03,NOTION LABS INC 47256,-24.00,-150101.84,Notion Labs,,SAAS
bt_000248,2024-08-03,FIGMA INC 39873,-33.00,-150134.84,Figma,,SAAS
bt_000249,2024-08-03,MIXVIEW ANALYTICS LTD 94417,-349.00,-150483.84,Mixview Analytics,,SAAS
bt_000253,2024-08-03,TESCO EXPRESS,-4.57,-150488.41,Tesco,,OTHER
bt_000243,2024-08-05,SQ *KLAVIYO INC 6598 DUB,-166.66,-150655.07,Klaviyo,,MARKETING
bt_000010,2024-08-07,SHOPIFY* 3131 PAYOUT REF#82910,34176.96,-116478.11,Shopify,,PAYOUT
bt_000011,2024-08-14,SHOPIFY* 3507 PAYOUT REF#82911,36862.51,-79615.60,Shopify,,PAYOUT
bt_000255,2024-08-17,PRET A MANGER,-3.16,-79618.76,Pret A Manger,,OTHER
bt_000256,2024-08-17,PRET A MANGER,-4.10,-79622.86,Pret A Manger,,OTHER
bt_000012,2024-08-21,SHOPIFY* 6821 PAYOUT REF#82912,36638.38,-42984.48,Shopify,,PAYOUT
bt_000254,2024-08-23,TESCO EXPRESS,-7.36,-42991.84,Tesco,,OTHER
bt_000242,2024-08-25,BACS PAYROLL 25AUG STAFF,-17929.43,-60921.27,Pretty Fly Payroll,,PAYROLL
bt_000013,2024-08-28,SHOPIFY* 7040 PAYOUT REF#82913,37321.60,-23599.67,Shopify,,PAYOUT
bt_000251,2024-08-28,HUB3PL LONDON N1 INVC8494,-4826.50,-28426.17,Hub3PL,,FULFILMENT
bt_000252,2024-08-28,ROYAL MAIL BUSINESS,-8274.00,-36700.17,Royal Mail,,SHIPPING
bt_000108,2024-08-31,SHOPIFY REFUND BATCH 883,-14656.76,-51356.93,Shopify,,REFUND
bt_000132,2024-08-31,GOOGLE*ADS4770 CC@GOOGLE.COM,-15605.23,-66962.16,Google,,MARKETING
bt_000156,2024-08-31,FB*ADS4375XK MENLO PARK,-15318.12,-82280.28,Meta,,MARKETING
bt_000209,2024-09-01,SWIFT XFER MILANO TRIMS SRL EUR,-24582.50,-106862.78,Milano Trims SRL,,SUPPLIER
bt_000259,2024-09-01,SHOPIFY* SUB 19617,-79.00,-106941.78,Shopify,,SAAS
bt_000265,2024-09-01,STANDING ORDER STUDIO N1 LDN,-3200.00,-110141.78,Studio N1 Landlord,,RENT
bt_000179,2024-09-02,SWIFT XFER PORTO KNIT CO. EUR,-103374.46,-213516.24,Porto Knit Co.,,SUPPLIER
bt_000181,2024-09-02,SWIFT XFER MILANO TRIMS SRL EUR,-26276.32,-239792.56,Milano Trims SRL,,SUPPLIER
bt_000183,2024-09-02,SWIFT XFER IBERIA FOOTWEAR SA EUR,-33674.37,-273466.93,Iberia Footwear SA,,SUPPLIER
bt_000260,2024-09-03,INTERCOM INC SF CA 62692,-199.00,-273665.93,Intercom,,SAAS
bt_000261,2024-09-03,XERO LTD 68742,-42.00,-273707.93,Xero,,SAAS
bt_000262,2024-09-03,NOTION LABS INC 68867,-24.00,-273731.93,Notion Labs,,SAAS
bt_000263,2024-09-03,FIGMA INC 99499,-33.00,-273764.93,Figma,,SAAS
bt_000264,2024-09-03,MIXVIEW ANALYTICS LTD 70057,-349.00,-274113.93,Mixview Analytics,,SAAS
bt_000014,2024-09-04,SHOPIFY* 1585 PAYOUT REF#82914,36035.50,-238078.43,Shopify,,PAYOUT
bt_000258,2024-09-05,SQ *KLAVIYO INC 8397 DUB,-174.99,-238253.42,Klaviyo,,MARKETING
bt_000269,2024-09-08,PRET A MANGER,-3.75,-238257.17,Pret A Manger,,OTHER
bt_000015,2024-09-11,SHOPIFY* 9636 PAYOUT REF#82915,90372.27,-147884.90,Shopify,,PAYOUT
bt_000207,2024-09-16,SWIFT XFER PORTO KNIT CO. EUR,-71546.77,-219431.67,Porto Knit Co.,,SUPPLIER
bt_000016,2024-09-18,SHOPIFY* 5999 PAYOUT REF#82916,47528.52,-171903.15,Shopify,,PAYOUT
bt_000268,2024-09-19,PRET A MANGER,-7.98,-171911.13,Pret A Manger,,OTHER
bt_000017,2024-09-25,SHOPIFY* 1116 PAYOUT REF#82917,50719.90,-121191.23,Shopify,,PAYOUT
bt_000257,2024-09-25,BACS PAYROLL 25SEP STAFF,-17844.31,-139035.54,Pretty Fly Payroll,,PAYROLL
bt_000266,2024-09-28,HUB3PL LONDON N1 INVC7384,-7042.00,-146077.54,Hub3PL,,FULFILMENT
bt_000267,2024-09-28,DHL EXPRESS IRL,-12072.00,-158149.54,DHL,,SHIPPING
bt_000109,2024-09-30,SHOPIFY REFUND BATCH 884,-20201.43,-178350.97,Shopify,,REFUND
bt_000133,2024-09-30,GOOGLE*ADS5171 CC@GOOGLE.COM,-19069.90,-197420.87,Google,,MARKETING
bt_000157,2024-09-30,FB*ADS4380XK MENLO PARK,-18658.07,-216078.94,Meta,,MARKETING
bt_000272,2024-10-01,SHOPIFY* SUB 40927,-79.00,-216157.94,Shopify,,SAAS
bt_000278,2024-10-01,STANDING ORDER STUDIO N1 LDN,-3200.00,-219357.94,Studio N1 Landlord,,RENT
bt_000018,2024-10-02,SHOPIFY* 4620 PAYOUT REF#82918,54931.57,-164426.37,Shopify,,PAYOUT
bt_000273,2024-10-03,INTERCOM INC SF CA 77179,-199.00,-164625.37,Intercom,,SAAS
bt_000274,2024-10-03,XERO LTD 44741,-42.00,-164667.37,Xero,,SAAS
bt_000275,2024-10-03,NOTION LABS INC 89615,-24.00,-164691.37,Notion Labs,,SAAS
bt_000276,2024-10-03,FIGMA INC 14334,-33.00,-164724.37,Figma,,SAAS
bt_000277,2024-10-03,MIXVIEW ANALYTICS LTD 97904,-349.00,-165073.37,Mixview Analytics,,SAAS
bt_000271,2024-10-05,SQ *KLAVIYO INC 2713 DUB,-183.32,-165256.69,Klaviyo,,MARKETING
bt_000281,2024-10-05,AMAZON MARKETPLACE,-4.43,-165261.12,Amazon,,OTHER
bt_000554,2024-10-07,HMRC VAT PAYMENT Q3 2024,-75138.57,-240399.69,HMRC,,OTHER
bt_000019,2024-10-09,SHOPIFY* 6888 PAYOUT REF#82919,45269.27,-195130.42,Shopify,,PAYOUT
bt_000282,2024-10-13,TESCO EXPRESS,-7.56,-195137.98,Tesco,,OTHER
bt_000020,2024-10-16,SHOPIFY* 3393 PAYOUT REF#82920,47701.05,-147436.93,Shopify,,PAYOUT
bt_000021,2024-10-23,SHOPIFY* 7194 PAYOUT REF#82921,49891.16,-97545.77,Shopify,,PAYOUT
bt_000270,2024-10-25,BACS PAYROLL 25OCT STAFF,-17891.32,-115437.09,Pretty Fly Payroll,,PAYROLL
bt_000279,2024-10-28,HUB3PL LONDON N1 INVC3728,-5939.50,-121376.59,Hub3PL,,FULFILMENT
bt_000280,2024-10-28,DHL EXPRESS IRL,-10182.00,-131558.59,DHL,,SHIPPING
bt_000022,2024-10-30,SHOPIFY* 9879 PAYOUT REF#82922,47935.04,-83623.55,Shopify,,PAYOUT
bt_000110,2024-10-31,SHOPIFY REFUND BATCH 885,-23260.40,-106883.95,Shopify,,REFUND
bt_000134,2024-10-31,GOOGLE*ADS6687 CC@GOOGLE.COM,-19276.54,-126160.49,Google,,MARKETING
bt_000158,2024-10-31,FB*ADS8835XK MENLO PARK,-18850.48,-145010.97,Meta,,MARKETING
bt_000285,2024-11-01,SHOPIFY* SUB 32599,-79.00,-145089.97,Shopify,,SAAS
bt_000291,2024-11-01,STANDING ORDER STUDIO N1 LDN,-3200.00,-148289.97,Studio N1 Landlord,,RENT
bt_000295,2024-11-01,PRET A MANGER,-8.36,-148298.33,Pret A Manger,,OTHER
bt_000286,2024-11-03,INTERCOM INC SF CA 11145,-199.00,-148497.33,Intercom,,SAAS
bt_000287,2024-11-03,XERO LTD 13590,-42.00,-148539.33,Xero,,SAAS
bt_000288,2024-11-03,NOTION LABS INC 93922,-24.00,-148563.33,Notion Labs,,SAAS
bt_000289,2024-11-03,FIGMA INC 23181,-33.00,-148596.33,Figma,,SAAS
bt_000290,2024-11-03,MIXVIEW ANALYTICS LTD 86309,-349.00,-148945.33,Mixview Analytics,,SAAS
bt_000284,2024-11-05,SQ *KLAVIYO INC 4843 DUB,-191.65,-149136.98,Klaviyo,,MARKETING
bt_000023,2024-11-06,SHOPIFY* 6635 PAYOUT REF#82923,54604.37,-94532.61,Shopify,,PAYOUT
bt_000296,2024-11-09,AMAZON MARKETPLACE,-9.78,-94542.39,Amazon,,OTHER
bt_000024,2024-11-13,SHOPIFY* 4575 PAYOUT REF#82924,65144.49,-29397.90,Shopify,,PAYOUT
bt_000208,2024-11-15,SWIFT XFER PORTO KNIT CO. EUR,-71546.77,-100944.67,Porto Knit Co.,,SUPPLIER
bt_000210,2024-11-15,SWIFT XFER MILANO TRIMS SRL EUR,-24582.50,-125527.17,Milano Trims SRL,,SUPPLIER
bt_000294,2024-11-15,PRET A MANGER,-10.37,-125537.54,Pret A Manger,,OTHER
bt_000025,2024-11-20,SHOPIFY* 2650 PAYOUT REF#82925,95894.17,-29643.37,Shopify,,PAYOUT
bt_000283,2024-11-25,BACS PAYROLL 25NOV STAFF,-17839.61,-47482.98,Pretty Fly Payroll,,PAYROLL
bt_000195,2024-11-26,SWIFT XFER IBERIA FOOTWEAR SA EUR,-21212.80,-68695.78,Iberia Footwear SA,,SUPPLIER
bt_000026,2024-11-27,SHOPIFY* 3955 PAYOUT REF#82926,63203.64,-5492.14,Shopify,,PAYOUT
bt_000292,2024-11-28,HUB3PL LONDON N1 INVC3683,-11130.00,-16622.14,Hub3PL,,FULFILMENT
bt_000293,2024-11-28,ROYAL MAIL BUSINESS,-19080.00,-35702.14,Royal Mail,,SHIPPING
bt_000111,2024-11-30,SHOPIFY REFUND BATCH 886,-24518.45,-60220.59,Shopify,,REFUND
bt_000135,2024-11-30,GOOGLE*ADS6257 CC@GOOGLE.COM,-24213.42,-84434.01,Google,,MARKETING
bt_000159,2024-11-30,FB*ADS4595XK MENLO PARK,-23862.64,-108296.65,Meta,,MARKETING
bt_000299,2024-12-01,SHOPIFY* SUB 30770,-79.00,-108375.65,Shopify,,SAAS
bt_000305,2024-12-01,STANDING ORDER STUDIO N1 LDN,-3200.00,-111575.65,Studio N1 Landlord,,RENT
bt_000300,2024-12-03,INTERCOM INC SF CA 75828,-199.00,-111774.65,Intercom,,SAAS
bt_000301,2024-12-03,XERO LTD 35187,-42.00,-111816.65,Xero,,SAAS
bt_000302,2024-12-03,NOTION LABS INC 17512,-24.00,-111840.65,Notion Labs,,SAAS
bt_000303,2024-12-03,FIGMA INC 45714,-33.00,-111873.65,Figma,,SAAS
bt_000304,2024-12-03,MIXVIEW ANALYTICS LTD 50359,-349.00,-112222.65,Mixview Analytics,,SAAS
bt_000027,2024-12-04,SHOPIFY* 6940 PAYOUT REF#82927,155882.54,43659.89,Shopify,,PAYOUT
bt_000298,2024-12-05,SQ *KLAVIYO INC 5147 DUB,-199.98,43459.91,Klaviyo,,MARKETING
bt_000308,2024-12-06,AMAZON MARKETPLACE,-8.39,43451.52,Amazon,,OTHER
bt_000028,2024-12-11,SHOPIFY* 2126 PAYOUT REF#82928,58400.98,101852.50,Shopify,,PAYOUT
bt_000193,2024-12-11,SWIFT XFER MILANO TRIMS SRL EUR,-3101.09,98751.41,Milano Trims SRL,,SUPPLIER
bt_000309,2024-12-12,AMAZON MARKETPLACE,-10.05,98741.36,Amazon,,OTHER
bt_000029,2024-12-18,SHOPIFY* 9997 PAYOUT REF#82929,54968.34,153709.70,Shopify,,PAYOUT
bt_000310,2024-12-20,PRET A MANGER,-7.84,153701.86,Pret A Manger,,OTHER
bt_000311,2024-12-23,WORKSHOP COFFEE,-6.01,153695.85,Workshop Coffee,,OTHER
bt_000030,2024-12-25,SHOPIFY* 2003 PAYOUT REF#82930,57724.17,211420.02,Shopify,,PAYOUT
bt_000297,2024-12-25,BACS PAYROLL 25DEC STAFF,-17885.25,193534.77,Pretty Fly Payroll,,PAYROLL
bt_000191,2024-12-26,SWIFT XFER PORTO KNIT CO. EUR,-72021.81,121512.96,Porto Knit Co.,,SUPPLIER
bt_000306,2024-12-28,HUB3PL LONDON N1 INVC1230,-6783.00,114729.96,Hub3PL,,FULFILMENT
bt_000307,2024-12-28,ROYAL MAIL BUSINESS,-11628.00,103101.96,Royal Mail,,SHIPPING
bt_000112,2024-12-31,SHOPIFY REFUND BATCH 887,-40070.40,63031.56,Shopify,,REFUND
bt_000136,2024-12-31,GOOGLE*ADS5493 CC@GOOGLE.COM,-21845.42,41186.14,Google,,MARKETING
bt_000160,2024-12-31,FB*ADS4798XK MENLO PARK,-21210.65,19975.49,Meta,,MARKETING
bt_000031,2025-01-01,SHOPIFY* 3680 PAYOUT REF#82931,56592.64,76568.13,Shopify,,PAYOUT
bt_000314,2025-01-01,SHOPIFY* SUB 76501,-79.00,76489.13,Shopify,,SAAS
bt_000320,2025-01-01,STANDING ORDER STUDIO N1 LDN,-3200.00,73289.13,Studio N1 Landlord,,RENT
bt_000315,2025-01-03,INTERCOM INC SF CA 84374,-199.00,73090.13,Intercom,,SAAS
bt_000316,2025-01-03,XERO LTD 72590,-42.00,73048.13,Xero,,SAAS
bt_000317,2025-01-03,NOTION LABS INC 82006,-24.00,73024.13,Notion Labs,,SAAS
bt_000318,2025-01-03,FIGMA INC 99600,-33.00,72991.13,Figma,,SAAS
bt_000319,2025-01-03,MIXVIEW ANALYTICS LTD 28407,-349.00,72642.13,Mixview Analytics,,SAAS
bt_000324,2025-01-03,WORKSHOP COFFEE,-5.05,72637.08,Workshop Coffee,,OTHER
bt_000313,2025-01-05,SQ *KLAVIYO INC 8089 DUB,-208.31,72428.77,Klaviyo,,MARKETING
bt_000555,2025-01-07,HMRC VAT PAYMENT Q4 2024,-115239.80,-42811.03,HMRC,,OTHER
bt_000032,2025-01-08,SHOPIFY* 9860 PAYOUT REF#82932,97956.44,55145.41,Shopify,,PAYOUT
bt_000033,2025-01-15,SHOPIFY* 6003 PAYOUT REF#82933,62264.43,117409.84,Shopify,,PAYOUT
bt_000323,2025-01-19,AMAZON MARKETPLACE,-4.35,117405.49,Amazon,,OTHER
bt_000325,2025-01-21,AMAZON MARKETPLACE,-10.82,117394.67,Amazon,,OTHER
bt_000326,2025-01-21,TESCO EXPRESS,-7.67,117387.00,Tesco,,OTHER
bt_000034,2025-01-22,SHOPIFY* 6209 PAYOUT REF#82934,57118.67,174505.67,Shopify,,PAYOUT
bt_000312,2025-01-25,BACS PAYROLL 25JAN STAFF,-17900.43,156605.24,Pretty Fly Payroll,,PAYROLL
bt_000321,2025-01-28,HUB3PL LONDON N1 INVC8124,-7791.00,148814.24,Hub3PL,,FULFILMENT
bt_000322,2025-01-28,ROYAL MAIL BUSINESS,-13356.00,135458.24,Royal Mail,,SHIPPING
bt_000035,2025-01-29,SHOPIFY* 5062 PAYOUT REF#82935,50001.17,185459.41,Shopify,,PAYOUT
bt_000113,2025-01-31,SHOPIFY REFUND BATCH 888,-27198.07,158261.34,Shopify,,REFUND
bt_000137,2025-01-31,GOOGLE*ADS3218 CC@GOOGLE.COM,-21256.43,137004.91,Google,,MARKETING
bt_000161,2025-01-31,FB*ADS5966XK MENLO PARK,-20828.41,116176.50,Meta,,MARKETING
bt_000329,2025-02-01,SHOPIFY* SUB 97997,-79.00,116097.50,Shopify,,SAAS
bt_000335,2025-02-01,STANDING ORDER STUDIO N1 LDN,-3200.00,112897.50,Studio N1 Landlord,,RENT
bt_000330,2025-02-03,INTERCOM INC SF CA 34138,-199.00,112698.50,Intercom,,SAAS
bt_000331,2025-02-03,XERO LTD 99219,-42.00,112656.50,Xero,,SAAS
bt_000332,2025-02-03,NOTION LABS INC 65241,-24.00,112632.50,Notion Labs,,SAAS
bt_000333,2025-02-03,FIGMA INC 11465,-33.00,112599.50,Figma,,SAAS
bt_000334,2025-02-03,MIXVIEW ANALYTICS LTD 51281,-349.00,112250.50,Mixview Analytics,,SAAS
bt_000036,2025-02-05,SHOPIFY* 9027 PAYOUT REF#82936,49047.76,161298.26,Shopify,,PAYOUT
bt_000328,2025-02-05,SQ *KLAVIYO INC 9089 DUB,-216.64,161081.62,Klaviyo,,MARKETING
bt_000338,2025-02-05,AMAZON MARKETPLACE,-8.22,161073.40,Amazon,,OTHER
bt_000037,2025-02-12,SHOPIFY* 5831 PAYOUT REF#82937,43517.74,204591.14,Shopify,,PAYOUT
bt_000339,2025-02-15,TESCO EXPRESS,-4.97,204586.17,Tesco,,OTHER
bt_000038,2025-02-19,SHOPIFY* 1135 PAYOUT REF#82938,46840.35,251426.52,Shopify,,PAYOUT
bt_000341,2025-02-20,PRET A MANGER,-7.80,251418.72,Pret A Manger,,OTHER
bt_000192,2025-02-24,SWIFT XFER PORTO KNIT CO. EUR,-72021.81,179396.91,Porto Knit Co.,,SUPPLIER
bt_000194,2025-02-24,SWIFT XFER MILANO TRIMS SRL EUR,-3101.08,176295.83,Milano Trims SRL,,SUPPLIER
bt_000196,2025-02-24,SWIFT XFER IBERIA FOOTWEAR SA EUR,-21212.80,155083.03,Iberia Footwear SA,,SUPPLIER
bt_000327,2025-02-25,BACS PAYROLL 25FEB STAFF,-17936.11,137146.92,Pretty Fly Payroll,,PAYROLL
bt_000340,2025-02-25,TESCO EXPRESS,-11.36,137135.56,Tesco,,OTHER
bt_000039,2025-02-26,SHOPIFY* 8091 PAYOUT REF#82939,50563.79,187699.35,Shopify,,PAYOUT
bt_000114,2025-02-28,SHOPIFY REFUND BATCH 889,-18017.78,169681.57,Shopify,,REFUND
bt_000138,2025-02-28,GOOGLE*ADS3291 CC@GOOGLE.COM,-15957.31,153724.26,Google,,MARKETING
bt_000162,2025-02-28,FB*ADS5537XK MENLO PARK,-15385.94,138338.32,Meta,,MARKETING
bt_000336,2025-02-28,HUB3PL LONDON N1 INVC4269,-5876.50,132461.82,Hub3PL,,FULFILMENT
bt_000337,2025-02-28,ROYAL MAIL BUSINESS,-10074.00,122387.82,Royal Mail,,SHIPPING
bt_000344,2025-03-01,SHOPIFY* SUB 58592,-79.00,122308.82,Shopify,,SAAS
bt_000350,2025-03-01,STANDING ORDER STUDIO N1 LDN,-3200.00,119108.82,Studio N1 Landlord,,RENT
bt_000345,2025-03-03,INTERCOM INC SF CA 41484,-199.00,118909.82,Intercom,,SAAS
bt_000346,2025-03-03,XERO LTD 59220,-42.00,118867.82,Xero,,SAAS
bt_000347,2025-03-03,NOTION LABS INC 48605,-24.00,118843.82,Notion Labs,,SAAS
bt_000348,2025-03-03,FIGMA INC 11166,-33.00,118810.82,Figma,,SAAS
bt_000349,2025-03-03,MIXVIEW ANALYTICS LTD 42843,-349.00,118461.82,Mixview Analytics,,SAAS
bt_000205,2025-03-04,SWIFT XFER IBERIA FOOTWEAR SA EUR,-19668.09,98793.73,Iberia Footwear SA,,SUPPLIER
bt_000040,2025-03-05,SHOPIFY* 6396 PAYOUT REF#82940,84403.20,183196.93,Shopify,,PAYOUT
bt_000343,2025-03-05,SQ *KLAVIYO INC 1701 DUB,-224.97,182971.96,Klaviyo,,MARKETING
bt_000041,2025-03-12,SHOPIFY* 2072 PAYOUT REF#82941,57821.28,240793.24,Shopify,,PAYOUT
bt_000353,2025-03-16,TESCO EXPRESS,-3.63,240789.61,Tesco,,OTHER
bt_000042,2025-03-19,SHOPIFY* 4781 PAYOUT REF#82942,49271.74,290061.35,Shopify,,PAYOUT
bt_000342,2025-03-25,BACS PAYROLL 25MAR STAFF,-17904.11,272157.24,Pretty Fly Payroll,,PAYROLL
bt_000043,2025-03-26,SHOPIFY* 5935 PAYOUT REF#82943,50995.74,323152.98,Shopify,,PAYOUT
bt_000354,2025-03-26,TESCO EXPRESS,-9.03,323143.95,Tesco,,OTHER
bt_000351,2025-03-28,HUB3PL LONDON N1 INVC4700,-6471.50,316672.45,Hub3PL,,FULFILMENT
bt_000352,2025-03-28,DHL EXPRESS IRL,-11094.00,305578.45,DHL,,SHIPPING
bt_000115,2025-03-31,SHOPIFY REFUND BATCH 890,-26089.46,279488.99,Shopify,,REFUND
bt_000139,2025-03-31,GOOGLE*ADS7595 CC@GOOGLE.COM,-20883.66,258605.33,Google,,MARKETING
bt_000163,2025-03-31,FB*ADS6304XK MENLO PARK,-20437.81,238167.52,Meta,,MARKETING
bt_000357,2025-04-01,SHOPIFY* SUB 66246,-79.00,238088.52,Shopify,,SAAS
bt_000363,2025-04-01,STANDING ORDER STUDIO N1 LDN,-3200.00,234888.52,Studio N1 Landlord,,RENT
bt_000044,2025-04-02,SHOPIFY* 4363 PAYOUT REF#82944,55959.46,290847.98,Shopify,,PAYOUT
bt_000369,2025-04-02,TESCO EXPRESS,-8.72,290839.26,Tesco,,OTHER
bt_000203,2025-04-03,SWIFT XFER PORTO KNIT CO. EUR,-37676.55,253162.71,Porto Knit Co.,,SUPPLIER
bt_000358,2025-04-03,INTERCOM INC SF CA 37412,-199.00,252963.71,Intercom,,SAAS
bt_000359,2025-04-03,XERO LTD 59178,-42.00,252921.71,Xero,,SAAS
bt_000360,2025-04-03,NOTION LABS INC 26978,-24.00,252897.71,Notion Labs,,SAAS
bt_000361,2025-04-03,FIGMA INC 95414,-33.00,252864.71,Figma,,SAAS
bt_000362,2025-04-03,MIXVIEW ANALYTICS LTD 77502,-349.00,252515.71,Mixview Analytics,,SAAS
bt_000356,2025-04-05,SQ *KLAVIYO INC 3318 DUB,-233.30,252282.41,Klaviyo,,MARKETING
